hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-861388350000            94         93        38
4-8618705337474           37         34        18
4-8615059440510           21         19         9
4-8613459140374           17         16         7
4-8613810410003           29         27         5
4-861471678000           100         93        87
4-861387010000            95         90        46
4-8613459140324           12         12         9
4-8613444350134           50         48        34
4-8618860330000           17         17         6
4-861594566000           121        120        16
4-8615705447474           41         40        16
4-861847638000            62         60        62
4-8615059440552           25         25        11
4-861390825000            79         75        31
4-8618436040000           47         47        11
4-861471513000           134        126       121
4-8613514240000           58         57        30
4-861881420000            13         13        13
4-8615738740000           61         60        21
4-861510230000           132        131        65
4-861839439000            16         15         8
4-861834542000           182        178        31
4-8613444350439           58         56        46
4-8613910910001           33         30         5
4-861370910000            89         87        61
4-8613661210002           25         25         1
4-8615724660000           42         39        11
4-861351110000            60         60        38
4-861350830000            99         96        50
4-861571897000           144        135        65
4-852645021000115         33         27        33
4-861394710000            63         59        21
4-861843542000            39         37        19
4-8618860547474           24         23        10
4-8613406997474           90         90        48
4-8613444350235           52         49        30
4-8613444350335           27         26        18
4-861471573000            32         30        30
4-8190542114800            4          4         0
4-8615936340000          113        112        19
4-886935420651             5          5         5
4-861847600000            41         38        37
4-861843493000            67         65        39
4-861361101000           269        262        47
4-8618338455000           51         51         9
4-861390438001            13         13         6
4-79167494202              1          0         1
4-8614708680000           42         41        30
4-861471447000           112        107       101
4-8615205337474           36         32        14
4-8615249658000           68         67        16
4-8613782900000          180        174        38
4-8618404170000           48         47        23
4-8613811110001           51         44         3
4-14054729236              4          3         4
4-8613907380000           63         63        30
4-861357767000            28         26        11
4-861577105000           100         95        50
4-861471675000           104         95        83
4-8614709790000           15         14         4
4-8613444350339           29         27        21
4-8615082430000           49         48        14
4-8613409560000           73         73        33
4-8615859454282            7          7         4
4-6598541017              37         36         8
4-861380932000            37         35        23
4-8613444350440           53         53        37
4-8613589657474           51         49        23
4-861510991000            29         27         0
4-8613783240000           62         60        23
4-861840663000            30         29        29
4-8613444350336           31         30        24
4-861390912000            32         31        19
4-8613444350338           26         24        19
4-8614781780000           40         38         7
4-8618264607474           45         45        19
4-8613810310002           35         32         9
4-8613933710000           85         76        27
4-861471679000            67         63        57
4-34656000118              1          1         1
4-861390882000            29         28         9
4-8615249655000           61         61         5
4-861471561000            48         44        44
4-861887850000            42         40         1
4-8615903400004           21         21        13
4-861471473000            11         10        10
4-33660005100              1          1         1
4-861840668000            66         65        66
4-861387310000           115        114        59
4-8613444350435           57         56        48
4-8615249659000           29         26         3
4-861523467000            41         40        18
4-8613444350240           44         43        29
4-14054729217              2          2         2
4-8613444350237           45         43        28
4-861390453000            95         92        18
4-8618398670000           37         36        13
4-861390449000            27         26        12
4-8613854947474           43         42        14
4-861590437000            15         15         3
4-8615704190000           28         28        10
4-8614763087474           27         27        13
4-819066519762            10         10         0
4-8614708500000          187        183        93
4-33689002870              2          2         2
4-8613444350438           74         73        59
4-861351870000           131        127        37
4-861843492000            61         60        33
4-861585579000           261        252       196
4-491700600106             1          0         0
4-8613444350337           28         28        20
4-861375977000            80         75        48
4-8613999900000           62         58         1
4-861847527000            28         27        28
4-8615859454326           13         13         6
4-861370913000           114        111        65
4-8618398370000           67         65        18
4-8615059440379           20         20         3
4-8613852010000          199        192       156
4-8613661210001           44         43        12
4-8615903400002           17         17        12
4-8618382800000           89         86        26
4-861580872000            48         46        30
4-861880770000            72         66         4
4-861889884000            19         19        19
4-8613909940000           19         18         2
4-8613810210003           33         31         8
4-8618838575000           94         91        22
4-8615161410000          234        227       156
4-8613810310001           52         51        11
4-8613810410000           35         34         3
4-14054729344              5          5         5
4-962790020280             1          1         0
4-8618463327474           42         41        15
4-4528133314               1          1         0
4-8618408340000           54         52        14
4-861881290000            49         48         6
4-34656000117              1          1         0
4-8613444350242           15         14        10
4-8613505377474           43         41        23
4-12404492592              2          1         0
4-861520476000            33         31        17
4-861473627000            66         63         3
4-861847526000            30         29        30
4-861384420007             7          7         4
4-8613444350232           45         44        30
4-8618838574000          100         98        24
4-8615702810008           13         12         3
4-861351315000            20         20         4
4-8618463317474           88         85        46
4-818093110000            36         31         0
4-861827225000           203        197       127
4-861872260000            34         31         5
4-86137431680200         367        361         0
4-8618865367474           73         70        25
4-886932489004             2          1         2
4-8613782746000           45         40         8
4-861576568000            38         37        12
4-861390438002            12         11         6
4-861390458000            23         23        12
4-861394899000            16         13         8
4-8615105337474           41         40        20
4-861887794000            16         16         1
4-852645021000103         63         49        63
4-8615702820004            9          7         3
4-861390888000            41         39        19
4-886932489500            21         19        21
4-861384420001             7          6         1
4-861399340000            71         71        28
4-8615139840000          118        113        31
4-861376651000            93         92        21
4-8618483000004            6          6         2
4-12404492591              2          2         0
4-861384420009             2          2         1
4-861572163000            14         14         5
4-861514420005            11         10         4
4-886932489509            20         18        20
4-861394770000            11         11         8
4-61418703300             44         43        29
4-8618828480000           53         52        13
4-861584334000            10         10         0
4-861394720000            41         37         4
4-8613483710000           26         25         7
4-8613444350241           13         11         9
4-8618308420000           93         93        33
4-8613444350332           26         24        20
4-6281107108               5          5         0
4-8615249656000           66         64        10
4-861520994000             8          8         0
4-861847675000            29         29        28
4-861842054000            24         24        23
4-8615859454308           24         23        10
4-8615059440390           23         23         6
4-8618483000007            7          7         1
4-8615859454262           25         24        11
4-8613444350233           55         53        36
4-861390745000            33         31        16
4-861887786000            20         20         4
4-861580438004             7          7         5
4-861390883000            28         27        14
4-8613720930007            2          2         2
4-861843464000             7          6         3
4-8615702820006           18         17         5
4-861390438006            12         12         5
4-46708000000              1          1         0
4-861399370000            37         37        19
4-861390733000            56         54        25
4-8613467170003            9          9         6
4-8613444350334           29         29        19
4-861399330000            22         22        12
4-8618453517474           27         26         7
4-79219600010              2          2         2
4-861399964000            41         33         2
4-8613909910000           47         44         0
4-8613469540000           29         28        17
4-97254120017              1          1         1
4-861881355000            10          9         9
4-861573130000            18         18         4
4-14054729193              2          2         2
4-8613806427474           40         38        15
4-8618483000002           10         10         5
4-8190542116801            3          3         0
4-8615203400007           11         11         8
4-861384213000            26         26         8
4-8613810410001           37         36         4
4-8618841880000           32         29        12
4-861475554000            43         39        32
4-8615903400005           13         13         7
4-8618481380008            6          6         1
4-905590000232             1          1         0
4-41765900103              5          3         4
4-278291089510             1          1         0
4-14054729358              2          2         2
4-8618860331000           12         12         5
4-861390436000            20         20         9
4-8614780340000           28         25         6
4-861473632000            50         49         3
4-861387970000            23         22        10
4-8613803410000           57         55        35
4-79242000681              1          1         0
4-13123149437              2          1         0
4-8613810410002           31         28         5
4-8618338456000           44         43        11
4-8618338454000           47         46        11
4-8613905377474           32         31        17
4-491760003014             1          1         1
4-491720096396             1          1         0
4-861380534000            21         20        11
4-861390930000            30         29        17
4-8618483000001            9          9         3
4-8613910910003           55         53        11
4-861390454000            46         45        12
4-861573399000            13         13         2
4-861580438001             6          6         2
4-861880761000            54         52        51
4-886935420648             7          7         7
4-8190542113809            3          2         0
4-8613998440000           30         30        16
4-861520993000             6          6         0
4-886935420606             3          3         3
4-8618253517474           51         49        19
4-8613706340000           37         36        12
4-8613661210000           48         47         4
4-8618842020000           66         64        28
4-861399310000            19         19        10
4-8613783740000           87         86        18
4-8615903400007           22         19         9
4-861394739000            14         14         4
4-861471562000            24         24        21
4-8613611310001           33         32         5
4-861390941000             8          7         4
4-8615705377474           69         67        29
4-8613910910002           28         27         6
4-861390734000            41         37        13
4-861840751000            12         12        12
4-861514420001             5          5         2
4-8618338457000           45         44         7
4-8615702810002           15         14         4
4-861500784000            33         31         2
4-8190542116802            3          3         0
4-46735487101              2          2         0
4-8613611310002           33         31         5
4-886935420652             3          3         3
4-8613661210003           32         29         7
4-66853696515              1          1         1
4-8618436046000           38         38         8
4-861592260000            87         84        37
4-8615034520003            5          4         2
4-48501998087              1          1         0
4-16475800122              3          3         0
4-861590873000            75         68        30
4-861510473000            11         11         4
4-861394750000            21         18        12
4-8615249650000            5          5         0
4-861390936000            10         10         5
4-31624000285              2          2         2
4-8618481380004            4          4         0
4-819066519766            15         12         0
4-8613444350436           61         57        50
4-8613810010002           38         34         9
4-8613444350340           22         20        17
4-8618436047000           49         48         9
4-8613444350442           10          8        10
4-8618804130000           50         49        16
4-8613444350133           56         55        37
4-861390438005            10         10         4
4-8615702820003           17         17         5
4-8615203400002           16         15         7
4-8613720930005            2          1         1
4-34656000137              5          5         4
4-8613907440000           25         25        20
4-8615059440357           16         15         6
4-8618436044000           41         40         8
4-8615702820008           17         17         3
4-8613997020000           18         15         2
4-34607000240              2          2         2
4-861390438004            11         11         6
4-8618481380001            3          3         2
4-8618838570000           16         16         3
4-861573370000            21         20         2
4-861361315000             7          6         2
4-12404492588              4          4         0
4-819066519755             7          6         0
4-861842053000            30         29        30
4-861575060000            13         11         4
4-8613444350441           14         12        12
4-886936000146            37         35        35
4-8615859454273           11         11         5
4-861840492000            60         57        19
4-8618483000006            8          8         4
4-8615203400003           11         11        10
4-12404492589              2          1         0
4-8613459140024           11         11         3
4-8613444350333           21         20        14
4-861357914000            30         29         3
4-8615704290000           31         31        12
4-8615859454318           20         18         8
4-8615034520002            5          5         2
4-861471677000            80         70        74
4-14054729339              2          2         2
4-919820405700             4          3         0
4-861373288000            41         40        16
4-8613907460000           28         28        14
4-393358999712             1          1         1
4-861384420002            10          9         5
4-34656000116              1          1         1
4-85290184000              6          5         6
4-861580438005            11         10         2
4-8615859450193           20         20        10
4-819066519764             6          6         0
4-821196580000             6          5         6
4-14054729316              5          5         5
4-491760003015             1          1         0
4-12404492580              4          4         0
4-8615034640008            1          1         1
4-8615839240000           64         63        11
4-8615249651000            2          2         0
4-861580438006             2          1         0
4-316540967040             8          8         0
4-8190542119802            2          1         0
4-861500785000            35         32         3
4-8615702810004           15         15         3
4-8615704100000           36         33         9
4-491700600123             1          0         0
4-14054729336              2          1         2
4-4531307401               4          4         0
4-861580438003            10          9         2
4-8615035320003            1          1         1
4-14054729346              2          2         2
4-919810051031             1          1         0
4-861394670000            26         24         5
4-8621313910000           25         24         0
4-861870546000             1          1         1
4-886935420616             1          1         1
4-8615702820007           12         12         5
4-8613459140384           23         22         9
4-861357904000            27         24         0
4-819066519765             5          5         0
4-491760003022             2          1         1
4-8613720930002            7          7         6
4-861514780000            11         11         3
4-16363848249              1          1         0
4-861390911000            10         10         5
4-819066519767            12          7         0
4-8615296920000            7          7         1
4-8613782744000           39         37         5
4-8615702810009           12         10         2
4-8615903400008            2          2         1
4-447802000225             1          1         0
4-8618481380007            3          3         0
4-886936000147            11         11        11
4-861510483000             4          4         2
4-861889983000            15         15        15
4-8618398340000           20         18         7
4-8613910910000           26         25         3
4-46705003201              1          1         0
4-861588620000            19         18         7
4-8615035320006            1          1         1
4-8615762157474           47         46        20
4-8613459140534           14         12         4
4-316530860010             4          3         0
4-861390434002             3          3         0
4-861514420002             5          5         1
4-8615059440375           17         17         5
4-8618481380006            8          8         2
4-861881377000            39         36        38
4-861384420004             6          6         3
4-8613444350342            6          6         5
4-491700600119             1          0         0
4-8618483000009            9          9         3
4-861529668000            22         22        14
4-861580635000            27         27        19
4-861593064000            18         16         1
4-8615903400009            2          2         0
4-8618483590000           23         23         8
4-861580438007             4          4         1
4-8615702820009           14         14         2
4-14054729202              3          2         3
4-8613579530000           13         12         1
4-447953700264             2          2         2
4-491720096596             2          2         0
4-8618366547474           53         48        19
4-861390438009             2          2         1
4-861390877000            25         25        11
4-8613444350142           15         15        11
4-12085978981              4          3         0
4-8618481380002            3          3         1
4-971504063493             2          2         2
4-861390914000            40         38        22
4-14054729221              2          1         2
4-46705003202              3          3         0
4-861514420003            11         10         7
4-14047259638              1          1         0
4-60120000271              2          2         2
4-6598541018              54         52        11
4-8615859454347           19         17         8
4-33689002660              9          7         9
4-861390434006             3          3         0
4-12085978016              4          4         0
4-861580438002            11         10         3
4-14054729319              2          2         2
4-861390434001             5          5         1
4-8190542113819            2          2         0
4-14054729312              3          3         3
4-14054729212              3          3         3
4-14054729341              1          0         1
4-436990071215             1          0         1
4-447953700272             1          1         1
4-8615059440568           18         17         8
4-13603399158              5          3         0
4-8615059440421           19         19         9
4-8615702810007           12         12         2
4-491760003009             1          1         1
4-8190542113813            6          5         0
4-79112009901              3          3         3
4-33689002872              1          1         1
4-9613488800               1          1         0
4-8615035320005            5          4         2
4-8615096840000           65         63        16
4-861500438000            10         10         6
4-550117102002             1          0         1
4-8615702820001           10          9         1
4-97254120611              1          1         0
4-14054729230              5          4         5
4-8615702810006           14         11         4
4-861514420007            10         10         3
4-861390455000            26         25         5
4-861889776000            14         14         1
4-8615704270000           10         10         7
4-9477000196               1          1         1
4-14054729191              2          2         2
4-8615859454279           18         18         6
4-36709996244              2          1         2
4-861477815000             9          8         9
4-14054729227              2          2         2
4-821029191813            13         13        13
4-12404492274              1          1         0
4-861831344000             1          1         0
4-61411999020             38         34         0
4-16363848246              1          1         0
4-8615702810003           17         14         7
4-14054729350              3          3         3
4-8615859450249           11         11         8
4-8618481380005            7          7         2
4-8615859450148           12         11         5
4-96596909202              1          1         0
4-8615203400001           14         13        10
4-8615059440386           16         16        12
4-8615859450147           10         10         4
4-447802000252             1          0         0
4-852645021000116          1          1         1
4-852645021000110         15         11        15
4-861830886000             2          2         0
4-8618483000005            9          9         4
4-558199238601             1          1         0
4-31624000282              1          1         1
4-5294100018010            1          1         0
4-819066519768            11         10         0
4-6598541016              45         45         5
4-886935420605             6          6         6
4-14054729214              4          4         4
4-6590475003              17         15         0
4-861573134000            13         11         4
4-33689002868              1          1         1
4-8613782747000           37         33         3
4-60120000270             10          8        10
4-64221420001              1          0         1
4-8615203400005           15         13         7
4-491760003021             1          0         1
4-8613467170002            7          7         5
4-8615034520006            4          4         2
4-8190542116803            4          4         0
4-79148999996              1          1         1
4-886936000234             1          1         1
4-14054729359              3          3         2
4-8613467170005           12         11         8
4-40722000300              1          1         0
4-8618481380003            6          6         0
4-491700600159             1          0         0
4-8613444350141           14         13        11
4-436990071214             1          1         1
4-33689002869              6          6         6
4-8613444350343            1          1         1
4-8613467170006            8          8         5
4-861827248000             1          1         0
4-491760003031             1          1         0
4-31624000281              2          2         2
4-8615034520005            4          3         1
4-861514420006            10          9         6
4-316540791020             3          3         0
4-8615034520001            3          3         2
4-16475800120              1          1         0
4-8613515200000            5          5         5
4-85290240832              2          2         2
4-8613467170004           11         10         6
4-8615009900000            8          5         0
4-8618483000003            8          8         4
4-34607000250              1          1         0
4-8615203400004           15         15         9
4-447802000251             1          1         1
4-14054729228              5          5         5
4-8615702820002           10         10         4
4-316530860020             1          1         0
4-16363848254              1          1         0
4-8618283680000            2          2         1
4-639180008994             1          1         0
4-358402001004             1          1         0
4-34607000550              1          1         0
4-886935420615             1          1         1
4-14054729244              3          1         3
4-14054729355              1          1         1
4-249912080000             1          1         0
4-861845232000             1          1         1
4-819066519758             9          7         0
4-12085978935              1          0         0
4-8613467170001            6          6         2
4-639170000358             8          8         0
4-34656000138              4          4         2
4-8613999710000           11          8         1
4-491760003026             2          1         0
4-16363848255              1          0         0
4-628184429906            26         19        26
4-861384420006            11         10         4
4-14054729232              3          2         3
4-8190542113814            2          2         0
4-886936000037             2          2         2
4-14054729225              3          3         3
4-14054729195              2          2         2
4-8615035320007            5          5         2
4-447953700257             2          2         2
4-8190542113810            5          5         0
4-34609190400              2          2         0
4-4528133317               2          2         0
4-8613444350341            5          4         5
4-861398870000             2          2         2
4-34656000135              2          2         0
4-8615203400008            2          2         1
4-60192040152              7          7         7
4-861580438008             1          0         1
4-4366401161               1          1         0
4-14054729310              3          3         3
4-861390434005             7          7         1
4-14054729324              2          2         2
4-16363848248              1          1         0
4-60120000272              2          2         2
4-8613467170007            6          6         6
4-14054729329              2          2         2
4-491700600110             1          0         0
4-85593000001              1          1         1
4-8618860339000           14         14         3
4-861580438009             2          2         0
4-861514420004            12         12         1
4-905429800696             1          0         0
4-861361543000             7          7         5
4-861384420003             6          6         3
4-41794992015              3          3         2
4-86184211730             49         45         5
4-8618838571000           17         16         1
4-8190542113818            3          3         0
4-46705003208              1          1         0
4-861390434003             3          3         0
4-447802000233             1          1         1
4-447953700211             1          1         1
4-358508771121             2          2         0
4-491760003006             3          1         2
4-14054729357              4          4         4
4-16363848260              1          1         0
4-8613720930006            4          4         2
4-8190542113807            5          4         0
4-886973848920             2          2         2
4-8615034640004            3          3         2
4-358402001001             1          1         0
4-8190542114805            1          1         0
4-316540941178             2          2         2
4-31624000287              3          3         3
4-8613720930001            2          1         0
4-14054729249              3          2         3
4-4540150009               1          1         0
4-8613782748000           15         14         1
4-14054729207              2          2         2
4-34609090031              1          0         0
4-6421600010               8          7         2
4-14054729238              6          5         5
4-886935420646             9          9         9
4-14054729243              5          4         5
4-6281107109               3          1         0
4-8613467170008            4          4         3
4-491720097696             1          1         0
4-6590475002              21         18         0
4-8613720930003            4          4         2
4-852645021000108          6          5         6
4-447953700212             2          1         1
4-919845286068             1          1         0
4-491700600117             1          0         0
4-14054729340              2          2         2
4-14054729226              2          2         2
4-34607000360              1          1         0
4-8615035320002            2          2         0
4-8615034520004            3          3         1
4-8615702810001           10         10         1
4-819066519754            10          8         0
4-14054729365              4          4         4
4-85290201747              1          1         1
4-14054729362              4          4         4
4-861510434000             8          8         1
4-491720097496             2          1         0
4-14054729233              4          4         4
4-852645021000127          1          1         1
4-14054729199              1          1         1
4-971504063193             1          0         1
4-14054729354              3          3         2
4-32495007640              2          1         0
4-66923013522              1          1         1
4-8615034640007            5          5         1
4-12819659999             16         14        16
4-447953700227             1          0         1
4-14054729229              1          1         1
4-14054729364              4          3         3
4-819066519752            12         11         0
4-861390438007            11         11         5
4-79167494201              1          1         1
4-14054729347              4          4         4
4-358402001003             2          2         0
4-79025110001              1          1         1
4-447802000242             1          0         1
4-861356519000             7          6         0
4-97254120634              1          1         1
4-14385800120              1          1         0
4-33609009099              2          2         0
4-14054729248              2          2         2
4-8190542112802            1          0         0
4-2348020004555            1          1         1
4-14054729337              5          4         4
4-60120000273              3          3         3
4-60120000274              1          1         1
4-33689005211              3          1         3
4-491700600152             1          0         0
4-819066519763             7          6         0
4-491760003018             1          1         0
4-12085978983              2          2         0
4-12404492578              2          2         0
4-46708000984              3          3         0
4-15875800120              2          2         0
4-66830032011              9          8         0
4-79141809991              1          1         1
4-79037030676              3          0         0
4-14054729345              1          1         1
4-14054729223              1          1         1
4-8615034640001            1          1         0
4-13603399159              4          0         0
4-491700600151             1          0         0
4-14054729356              1          1         1
4-491760003005             1          1         1
4-32475002533              4          3         4
4-819066519756             6          6         0
4-33689002866              1          0         1
4-201222000854             1          0         0
4-375297000014             1          0         0
4-8190542116807            6          6         0
4-8190542116808            1          1         0
4-14054729348              2          2         2
4-491700600102             2          0         0
4-237694000000             1          1         0
4-86184211726             45         41         4
4-15875800121              2          2         0
4-86184211729             51         45         0
4-86184211722             43         42         4
4-86184211733             54         49         1
4-86184211723             42         39         0
4-86184211727             48         43         2
4-86184211725             64         59         6
4-86184211731             47         44         3
4-86184211732             57         52         3
4-86184211724             54         48         3
4-86184211728             47         43         4
4-8615756980000            2          2         1
4-79772539012              4          4         4
4-8613546790005            2          2         0
4-8613546790007            2          2         1
4-34609090040              1          1         0
4-8190542114804            3          3         0
4-48790993030              3          3         3
4-14054729353              4          4         4
4-12085978982              6          6         0
4-447953700234             1          1         1
4-14054729361              1          1         1
4-14054729242              2          2         2
4-316540998092             1          1         0
4-8190542112801            1          1         0
4-34656000125              2          2         2
4-16363848245              2          2         0
4-8613720930004            3          3         3
4-8615905370000           31         30        15
4-8190542113811            9          4         0
4-8190542116806            4          4         0
4-393492001964             1          1         0
4-14054729333              3          2         3
4-819066519751             8          7         0
4-16363848250              1          1         0
4-14054729239              1          1         1
4-8618481380009            7          7         0
4-819066519753             8          6         0
4-12404492590              1          1         0
4-278291089513             1          1         0
4-447953700262             2          0         2
4-491760003001             1          1         0
4-79039009978              1          1         0
4-14054729192              1          0         1
4-14054729224              3          3         3
4-79184790010              1          1         1
4-34656000115              6          6         5
4-491700600111             1          0         0
4-861390438008             1          1         0
4-861514420008             2          1         1
4-34607000170              1          1         1
4-14054729246              1          1         1
4-8190542113805            6          6         0
4-14054729216              3          3         3
4-447953700229             1          0         1
4-79139860003              1          1         1
4-886973848921             1          1         1
4-447953700202             1          1         1
4-85368008675             37         23        37
4-14054729325              3          2         3
4-8613645380000           15         12         9
4-447953700203             1          1         1
4-852645021000106          1          1         1
4-491720096696             1          1         0
4-8618324030000            3          1         0
4-491700600122             1          1         0
4-14054729366              4          3         4
4-84980200080              1          1         1
4-13123149436              1          1         0
4-14054729313              2          1         2
4-14054729368              1          1         1
4-12085978936              3          3         0
4-393358840411753          1          0         1
4-861390434008             1          1         0
4-46705003206              1          1         0
4-12404492593              3          2         0
4-905429800690             1          1         0
4-14054729322              3          2         3
4-886936000233             1          1         1
4-8190542113804            5          4         0
4-8190542119800            3          2         0
4-2302500024               1          1         0
4-491700600147             1          1         0
4-14054729360              1          1         0
4-886932489008             3          3         3
4-66938012011              1          1         0
4-393358817812             1          1         1
4-14054729338              2          2         2
4-14054729234              1          1         1
4-8613546790001            2          2         0
4-447953700255             2          2         2
4-16363848256              2          1         0
4-46705003203              2          1         0
4-79232510100              1          1         1
4-4528133312               1          1         0
4-85368989852              6          4         6
4-212663990030             1          1         1
4-14054729323              3          3         3
4-905329950000             4          3         4
4-14054729198              1          0         1
4-14054729311              5          5         5
4-393358999724             2          1         2
4-33689002862              1          0         1
4-8613475220000           68         67        21
4-14054729200              2          1         1
4-8615035320001            1          1         1
4-861356558000             2          2         0
4-393358840411522          1          1         1
4-14054729317              5          4         5
4-447953700240             1          0         1
4-85263347880             11         10        11
4-12085978979              3          3         0
4-14054729342              4          4         3
4-491760003010             1          1         0
4-886935420649             7          7         7
4-919890064505             2          2         2
4-14054729349              2          2         2
4-14054729363              3          3         3
4-491720097596             1          1         0
4-13603399751              4          1         0
4-861390438003             9          9         6
4-14054729318              1          1         1
4-14054729209              3          2         3
4-12085978017              2          2         0
4-14054729197              3          3         3
4-861390434007             6          6         1
4-14054729247              2          1         2
4-447802000250             1          1         1
4-14054729201              4          4         4
4-14054729367              2          2         2
4-861384420005             5          5         2
4-6785330020               1          1         1
4-447953700236             1          1         0
4-12085979018              1          1         0
4-886935420647             7          7         7
4-971504063593             1          1         1
4-14054729203              1          0         1
4-819066519761             6          5         0
4-436760182221             1          1         0
4-4790000950               2          2         0
4-14054729351              4          4         4
4-8190542112805            4          3         0
4-14054729335              1          1         1
4-14054729235              2          2         2
4-491760003003             2          1         2
4-14054729331              1          1         1
4-14054729196              2          2         2
4-8613444350243            5          4         4
4-8615034520007            7          6         2
4-491720097796             1          1         0
4-491700600138             1          0         0
4-447953700207             1          1         1
4-34656000127              1          1         0
4-4528133318               1          1         0
4-447797707015             3          0         0
4-33689002873              1          1         1
4-33689002881              1          1         1
4-79639741149              1          1         0
4-628964001091             1          1         0
4-14054729321              2          1         2
4-8190542112806            4          4         0
4-966505000000             1          1         0
4-13123149432              1          1         0
4-14054729222              3          3         3
4-37256100083              1          1         0
4-393358999709             2          2         2
4-14047259749              2          2         0
4-85292040038              1          1         1
4-861374427686             8          8         0
4-8613444350443            3          3         2
4-353876999260             1          0         0
4-316540941259             1          1         1
4-33689002880              1          1         1
4-14054729211              2          2         2
4-393358999713             1          1         1
4-447802000232             2          2         2
4-447953700232             2          2         2
4-447802000259             1          1         0
4-447953700220             1          1         1
4-447802000257             3          3         3
4-14054729204              2          2         2
4-819066519757             9          8         0
4-14054729245              2          2         2
4-14054729190              4          4         4
4-38050000301              2          2         2
4-8615034640002            3          3         1
4-393492001963             4          4         0
4-393916230111             1          1         0
4-447953700231             1          1         1
4-79262004558              1          0         0
4-14054729334              5          3         5
4-393358999707             1          1         1
4-447953700259             1          1         1
4-16363848244              1          0         0
4-14047259886              1          1         0
