hxwsj@gmshmas3o> eaw MSC50;
<!collect IOT_subscriber!
<!display MSC's MT MOBILE SUBSCRIBER!
<ioexp;
EXCHANGE IDENTITY DATA

IDENTITY
SHG50CN79B/KD/04/05/75

END


<mgsvp;
MT MOBILE SUBSCRIBER SURVEY

HLRADDR             NSUB       NSUBA      NSUBOCSI
4-861360101000          435        378         49
4-3725098024              2          2          0
4-8618308420000         194        184         59
4-34607000550             1          1          0
4-861590873000           60         59         29
4-861840572000          270        258        179
4-8613810410003          72         61          5
4-278291089503            1          0          0
4-861511600000          126        120         39
4-861840662000           24         21         23
4-8613810010002          84         75          6
4-8613444350336          72         68         12
4-491700600157            1          1          0
4-861399370000           43         43         24
4-8615264937474         128        124         46
4-8613444350435          79         67         57
4-8615296920000          24         23          6
4-240222100038            1          0          0
4-861390559000          258        247        142
4-861582967000          236        213        117
4-861375977000          214        203         92
4-30935101000             2          0          0
4-861887850000           49         47          2
4-8613907440000          53         51         39
4-79639741145             3          0          0
4-861509684000            1          1          1
4-861580872000           80         75         42
4-541151740023            1          0          0
4-8615936340000         163        156         15
4-8613444350441          19         14         15
4-5294100011010           1          1          0
4-8613782746000          99         90         15
4-861376651000          173        161         39
4-861350101000          462        417        127
4-861514420002           15         15          6
4-861510473000           15         11         10
4-61415011018             4          3          0
4-8618865367474         162        150         72
4-41794992015             3          3          2
4-861387970000           35         35         20
4-861384213000           54         51         11
4-8615096840000         137        132         56
4-861390557000          503        483        353
4-861582380000          175        169         77
4-905590000239            1          0          0
4-8613997020000          29         27          5
4-861514420003           19         18          0
4-639180009007           10          8          1
4-14054729201             2          2          2
4-447802000229            6          5          3
4-8618338457000         120        110         14
4-861840666000          204        150         95
4-8615249658000         127        120         13
4-861576568000           73         70         24
4-861475551000          246        239        106
4-861390736000          121        115         75
4-8614780340000          51         49         11
4-8613611310002          73         68          4
4-861361315000           29         25          5
4-32495005650            10         10          0
4-491700600126            7          0          0
4-861473627000           57         54          1
4-861352985000          141        134         52
4-233540003007            2          2          2
4-8613907380000          92         88         41
4-861847638000           50         43         49
4-8613444350236          43         39         17
4-19037029904             1          0          0
4-861514420005           18         17          5
4-861385680000          260        252        147
4-8613444350334          81         74         21
4-861500573000          186        174        118
4-861394750000           68         61         27
4-12085978017             1          0          0
4-8615105337474          86         82         39
4-8613810310001          60         53          7
4-8613803410000          80         75         36
4-861390912000           88         88         26
4-8613852010000         286        276        209
4-8615249656000         132        125          4
4-852645021000104        30         19         30
4-85294981704             3          2          3
4-8613505377474         110        103         52
4-8613720930004           8          8          6
4-861394720000           78         72         31
4-8613766490000         353        339        201
4-491760003005            3          3          2
4-8615059440386          24         20         11
4-8615859454347          16         11         10
4-491760003015            4          1          4
4-8613444350234          47         45         23
4-316540791020          143         76          0
4-447953700228            1          1          1
4-14054729356             4          3          4
4-8614763087474          64         63         24
4-79167494207             5          2          5
4-861399390000          188        178         81
4-886936000234            3          3          3
4-14054729322             1          1          1
4-861390877000          147        143         59
4-861843493000          219        209        142
4-8618705337474         108        100         43
4-393358999726            1          1          0
4-8618453517474          72         65         18
4-375296000090            1          0          0
4-8613909910000          83         76          4
4-6593340084            150        113          0
4-861529668000           59         55         28
4-8615839240000         158        153         34
4-8615139840000         166        158         36
4-861350572000          241        215        148
4-886932489001            1          1          1
4-861471512000          107        101         89
4-436990071215            1          1          1
4-48790993030            10          6         10
4-861573130000           27         23         12
4-861475554000           38         37         27
4-8613810210003          42         39          9
4-861843454000          113        111         46
4-8618481380007          11         10          2
4-86184211723           109        107          8
4-861830756000          121        101         38
4-8613444350342           9          9          6
4-861350830000           99         96         39
4-861594566000          157        150         17
4-8618860334000         272        261         44
4-8613469540000          77         72         24
4-8614708680000          55         52         41
4-8618398670000          62         57         20
4-8613444350238          46         43         17
4-8614781780000         116        109         23
4-861471561000           23         21         22
4-8615938940000         211        195         58
4-8613811110001          69         63          4
4-861390739000           69         65         25
4-8615859454326          14         11          5
4-8615738740000         173        169         31
4-8615724660000          98         90         22
4-8615034520001           6          6          3
4-8614708500000         248        235        115
4-8190542112805           3          2          0
4-8613444350337         108         99         28
4-639180009000           12         10          5
4-861840751000           13         13         12
4-861887786000           11         11          0
4-16363848246             3          3          0
4-8613854947474          72         69         25
4-8613444350138          40         37         22
4-8615715357474          81         78         37
4-8614785640000         107        101         83
4-861573399000           29         23          5
4-861880305000           52         50          5
4-861572163000           37         36         19
4-861351749000          106         95         40
4-8618483000005          12         11          2
4-491760003023            1          1          1
4-8615054127474         179        166         42
4-8615179740000         179        174         92
4-8613483710000          73         64         15
4-8613661210001          66         58          5
4-861580438006           11         11          3
4-861477806000           19         19         19
4-8615249654000         147        139          7
4-8618808240000         203        197         50
4-861356519000           21         19          1
4-8615702820002          18         17          3
4-639170000359            4          3          4
4-861843542000           76         75         33
4-861345740000           43         42          5
4-8615702810006          19         17          4
4-8613810210002          65         60          6
4-8613783740000         117        114         22
4-14054729210             2          1          2
4-861510731000          137        130         52
4-8618441440000         163        149         26
4-8615838840000         310        288         34
4-447802000243            9          7          5
4-8615059440375          35         30         10
4-861471446000           83         72         71
4-8613810410001          65         63          6
4-861477700000           76         67          6
4-8615704100000          64         60         24
4-861396150000          210        190         91
4-8613511520000         223        209        159
4-8613810010000          71         64          4
4-861387980000          110        105         65
4-8615249655000         127        123         10
4-8613514240000          82         76         39
4-861580438001           19         17          3
4-8615762157474          88         86         41
4-8613810410000          55         53          7
4-8618841880000          57         53         27
4-14054729227             3          2          3
4-886932489509           56         42         56
4-861351315000           41         36         10
4-8613444350139          29         25         21
4-8618404170000          66         60         22
4-447953700257            2          2          2
4-77010002101             1          1          1
4-8618436044000          74         67          9
4-861390941000           18         18         10
4-14054729234             1          1          1
4-861390915000          102         97         60
4-86184211728           112        109         12
4-8615082430000          53         49         13
4-8613611310001          52         43          4
